date,Avg. wind,wind gusts
2018-5-10-10-4,7,12
2018-5-10-10-9,9,11
2018-5-10-10-14,4,11
2018-5-10-10-19,5,10
2018-5-10-10-24,4,10
2018-5-10-10-29,5,9
2018-5-10-10-34,8,11
2018-5-10-10-39,6,11
2018-5-10-10-44,9,13
2018-5-10-10-49,5,10
2018-5-10-10-54,6,8
2018-5-10-10-59,7,10
2018-5-10-11-4,6,10
2018-5-10-11-9,2,8
2018-5-10-11-14,6,9
2018-5-10-11-19,8,11
2018-5-10-11-24,9,11
2018-5-10-11-29,8,11
2018-5-10-11-34,9,11
2018-5-10-11-39,9,12
2018-5-10-11-44,7,10
2018-5-10-11-49,7,10
2018-5-10-11-54,9,11
2018-5-10-11-59,9,13
2018-5-10-12-4,10,13
2018-5-10-12-9,11,13
2018-5-10-12-14,10,12
2018-5-10-12-19,10,13
2018-5-10-12-24,11,15
2018-5-10-12-29,11,15
2018-5-10-12-34,12,14
2018-5-10-12-39,11,14
2018-5-10-12-44,12,15
2018-5-10-12-49,12,15
2018-5-10-12-54,10,13
2018-5-10-12-59,10,12
2018-5-10-13-4,11,15
2018-5-10-13-9,8,13
2018-5-10-13-14,9,12
2018-5-10-13-20,9,14
2018-5-10-13-25,9,13
2018-5-10-13-30,10,13
2018-5-10-13-35,12,17
2018-5-10-13-40,13,16
2018-5-10-13-45,10,16
2018-5-10-13-50,9,14
2018-5-10-13-55,10,13
2018-5-10-14-0,9,14
2018-5-10-14-5,11,16
2018-5-10-14-10,11,16
2018-5-10-14-15,5,12
2018-5-10-14-20,7,11
2018-5-10-14-25,7,10
2018-5-10-14-30,8,12
2018-5-10-14-35,7,12
2018-5-10-14-40,7,10
2018-5-10-14-45,8,10
2018-5-10-14-50,10,13
2018-5-10-14-55,10,13
2018-5-10-15-0,8,11
2018-5-10-15-5,9,12
2018-5-10-15-10,10,12
2018-5-10-15-15,8,12
2018-5-10-15-20,9,11
2018-5-10-15-25,9,14
2018-5-10-15-30,6,12
2018-5-10-15-35,4,9
2018-5-10-15-40,6,9
2018-5-10-15-45,3,8
2018-5-10-15-50,7,10
2018-5-10-15-55,8,13
2018-5-10-16-0,7,11
2018-5-10-16-5,7,10
2018-5-10-16-10,7,12
2018-5-10-16-15,6,11
2018-5-10-16-20,10,13
2018-5-10-16-25,7,12
2018-5-10-16-30,7,13
2018-5-10-16-35,10,12
2018-5-10-16-40,7,11
2018-5-10-16-45,7,13
2018-5-10-16-50,7,11
2018-5-10-16-55,10,14
2018-5-10-17-0,9,13
2018-5-10-17-5,8,13
2018-5-10-17-10,6,11
2018-5-10-17-15,8,13
2018-5-10-17-20,8,11
2018-5-10-17-25,7,10
2018-5-10-17-30,5,9
2018-5-10-17-35,7,10
2018-5-10-17-40,8,10
2018-5-10-17-45,5,10
2018-5-10-17-50,4,9
2018-5-10-17-55,6,8
2018-5-10-18-0,6,9
2018-5-10-18-5,4,10
2018-5-10-18-10,2,9
2018-5-10-18-15,5,8
2018-5-10-18-20,3,7
2018-5-10-18-25,5,10
2018-5-10-18-30,1,7
2018-5-10-18-35,3,7
2018-5-10-18-40,1,4
2018-5-10-18-45,0,0
2018-5-10-18-50,0,3
2018-5-10-18-55,0,6
2018-5-10-19-0,0,0
2018-5-10-19-5,0,0
2018-5-10-19-10,0,0
2018-5-10-19-15,6,8
2018-5-10-19-20,9,12
2018-5-10-19-25,4,10
2018-5-10-19-30,7,10
2018-5-10-19-35,3,11
2018-5-10-19-40,4,9
2018-5-10-19-45,1,8
2018-5-10-19-50,0,8
2018-5-10-19-55,4,7
